#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.152031E+08   0.152031E+08   0.198796E+08   0.198788E+08   0.152028E+08   0.152031E+08   0.152031E+08   0.152083E+08  -0.545463E+00   0.115813E+08   0.115813E+08   0.615469E-01
   0.830005E-04   0.152029E+08   0.152029E+08   0.197831E+08   0.197821E+08   0.152023E+08   0.152029E+08   0.152029E+08   0.152080E+08  -0.545454E+00   0.115812E+08   0.115812E+08   0.687625E-01
   0.927547E-04   0.152027E+08   0.152027E+08   0.196632E+08   0.196620E+08   0.152017E+08   0.152027E+08   0.152027E+08   0.152078E+08  -0.545443E+00   0.115810E+08   0.115810E+08   0.768193E-01
   0.103655E-03   0.152024E+08   0.152024E+08   0.195143E+08   0.195129E+08   0.152010E+08   0.152023E+08   0.152024E+08   0.152074E+08  -0.545430E+00   0.115808E+08   0.115808E+08   0.858134E-01
   0.115837E-03   0.152020E+08   0.152020E+08   0.193300E+08   0.193282E+08   0.152001E+08   0.152019E+08   0.152020E+08   0.152070E+08  -0.545413E+00   0.115804E+08   0.115804E+08   0.958513E-01
   0.129450E-03   0.152015E+08   0.152015E+08   0.191020E+08   0.190998E+08   0.151989E+08   0.152015E+08   0.152015E+08   0.152064E+08  -0.545392E+00   0.115801E+08   0.115801E+08   0.107051E+00
   0.144662E-03   0.152009E+08   0.152009E+08   0.188208E+08   0.188181E+08   0.151975E+08   0.152008E+08   0.152009E+08   0.152057E+08  -0.545366E+00   0.115796E+08   0.115796E+08   0.119541E+00
   0.161663E-03   0.152001E+08   0.152001E+08   0.184751E+08   0.184718E+08   0.151957E+08   0.152001E+08   0.152001E+08   0.152048E+08  -0.545334E+00   0.115790E+08   0.115790E+08   0.133464E+00
   0.180661E-03   0.151992E+08   0.151992E+08   0.180517E+08   0.180477E+08   0.151935E+08   0.151991E+08   0.151992E+08   0.152038E+08  -0.545293E+00   0.115783E+08   0.115783E+08   0.148974E+00
   0.201893E-03   0.151980E+08   0.151980E+08   0.175358E+08   0.175309E+08   0.151907E+08   0.151979E+08   0.151980E+08   0.152024E+08  -0.545243E+00   0.115774E+08   0.115774E+08   0.166241E+00
   0.225619E-03   0.151966E+08   0.151966E+08   0.169108E+08   0.169051E+08   0.151873E+08   0.151964E+08   0.151966E+08   0.152008E+08  -0.545180E+00   0.115763E+08   0.115763E+08   0.185446E+00
   0.252133E-03   0.151948E+08   0.151948E+08   0.161598E+08   0.161531E+08   0.151830E+08   0.151946E+08   0.151948E+08   0.151987E+08  -0.545103E+00   0.115749E+08   0.115749E+08   0.206783E+00
   0.281764E-03   0.151925E+08   0.151925E+08   0.152661E+08   0.152583E+08   0.151776E+08   0.151923E+08   0.151925E+08   0.151962E+08  -0.545008E+00   0.115731E+08   0.115731E+08   0.230457E+00
   0.314876E-03   0.151897E+08   0.151897E+08   0.142158E+08   0.142070E+08   0.151709E+08   0.151894E+08   0.151897E+08   0.151931E+08  -0.544889E+00   0.115709E+08   0.115709E+08   0.256685E+00
   0.351880E-03   0.151863E+08   0.151863E+08   0.130006E+08   0.129911E+08   0.151627E+08   0.151858E+08   0.151863E+08   0.151892E+08  -0.544744E+00   0.115682E+08   0.115682E+08   0.285687E+00
   0.393233E-03   0.151820E+08   0.151820E+08   0.116230E+08   0.116129E+08   0.151524E+08   0.151814E+08   0.151820E+08   0.151845E+08  -0.544565E+00   0.115649E+08   0.115649E+08   0.317691E+00
   0.439445E-03   0.151767E+08   0.151767E+08   0.101008E+08   0.100907E+08   0.151396E+08   0.151760E+08   0.151767E+08   0.151786E+08  -0.544347E+00   0.115608E+08   0.115608E+08   0.352921E+00
   0.491089E-03   0.151702E+08   0.151701E+08   0.847416E+07   0.846494E+07   0.151238E+08   0.151693E+08   0.151702E+08   0.151715E+08  -0.544080E+00   0.115557E+08   0.115557E+08   0.391602E+00
   0.548801E-03   0.151621E+08   0.151621E+08   0.681008E+07   0.680263E+07   0.151043E+08   0.151611E+08   0.151621E+08   0.151629E+08  -0.543756E+00   0.115494E+08   0.115494E+08   0.433956E+00
   0.613296E-03   0.151523E+08   0.151523E+08   0.520307E+07   0.519837E+07   0.150802E+08   0.151510E+08   0.151523E+08   0.151524E+08  -0.543364E+00   0.115417E+08   0.115417E+08   0.480207E+00
   0.685369E-03   0.151403E+08   0.151403E+08   0.376723E+07   0.376596E+07   0.150505E+08   0.151387E+08   0.151403E+08   0.151397E+08  -0.542893E+00   0.115323E+08   0.115323E+08   0.530588E+00
   0.765913E-03   0.151258E+08   0.151257E+08   0.261480E+07   0.261690E+07   0.150141E+08   0.151237E+08   0.151257E+08   0.151244E+08  -0.542328E+00   0.115209E+08   0.115209E+08   0.585366E+00
   0.855923E-03   0.151081E+08   0.151080E+08   0.182028E+07   0.182455E+07   0.149696E+08   0.151056E+08   0.151081E+08   0.151061E+08  -0.541653E+00   0.115071E+08   0.115071E+08   0.644858E+00
   0.956510E-03   0.150868E+08   0.150867E+08   0.137884E+07   0.138301E+07   0.149154E+08   0.150837E+08   0.150868E+08   0.150840E+08  -0.540849E+00   0.114903E+08   0.114903E+08   0.709458E+00
   0.106892E-02   0.150612E+08   0.150610E+08   0.118396E+07   0.118556E+07   0.148497E+08   0.150573E+08   0.150611E+08   0.150576E+08  -0.539891E+00   0.114703E+08   0.114703E+08   0.779647E+00
