#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.481650E+06   0.481650E+06   0.641886E+06   0.641868E+06   0.501118E+06   0.482024E+06   0.481650E+06   0.487670E+06  -0.602571E+00   0.480114E+06   0.480114E+06   0.150370E+01
   0.830005E-04   0.481648E+06   0.481647E+06   0.641805E+06   0.641782E+06   0.501089E+06   0.482021E+06   0.481648E+06   0.487666E+06  -0.602566E+00   0.480111E+06   0.480111E+06   0.168040E+01
   0.927547E-04   0.481645E+06   0.481644E+06   0.641704E+06   0.641675E+06   0.501052E+06   0.482018E+06   0.481645E+06   0.487662E+06  -0.602560E+00   0.480108E+06   0.480108E+06   0.187785E+01
   0.103655E-03   0.481641E+06   0.481641E+06   0.641578E+06   0.641542E+06   0.501006E+06   0.482013E+06   0.481641E+06   0.487657E+06  -0.602553E+00   0.480105E+06   0.480105E+06   0.209851E+01
   0.115837E-03   0.481637E+06   0.481636E+06   0.641420E+06   0.641375E+06   0.500949E+06   0.482008E+06   0.481637E+06   0.487650E+06  -0.602544E+00   0.480100E+06   0.480100E+06   0.234508E+01
   0.129450E-03   0.481632E+06   0.481630E+06   0.641223E+06   0.641167E+06   0.500877E+06   0.482001E+06   0.481631E+06   0.487641E+06  -0.602533E+00   0.480094E+06   0.480094E+06   0.262061E+01
   0.144662E-03   0.481625E+06   0.481623E+06   0.640978E+06   0.640907E+06   0.500787E+06   0.481993E+06   0.481624E+06   0.487631E+06  -0.602520E+00   0.480087E+06   0.480087E+06   0.292850E+01
   0.161663E-03   0.481616E+06   0.481614E+06   0.640671E+06   0.640583E+06   0.500676E+06   0.481982E+06   0.481616E+06   0.487617E+06  -0.602502E+00   0.480078E+06   0.480077E+06   0.327254E+01
   0.180661E-03   0.481606E+06   0.481603E+06   0.640288E+06   0.640178E+06   0.500536E+06   0.481969E+06   0.481605E+06   0.487601E+06  -0.602481E+00   0.480066E+06   0.480066E+06   0.365697E+01
   0.201893E-03   0.481592E+06   0.481589E+06   0.639810E+06   0.639673E+06   0.500362E+06   0.481952E+06   0.481592E+06   0.487580E+06  -0.602454E+00   0.480052E+06   0.480052E+06   0.408651E+01
